nnumr_log,elpl_hours,node_hours_log,mszl_specified,mszl_gib_log,submit_hour,submit_dow,freq_req,label,adt,__source_file
5.198497031265826,1.0,5.198497031265826,0.0,0.0,11.0,3.0,2000,1,2021-04-01 11:19:08+00:00,21_04.parquet
2.1972245773362196,24.0,5.262690188904886,0.0,0.0,2.0,0.0,2000,1,2021-04-12 02:47:26+00:00,21_04.parquet
1.6094379124341003,0.3333333333333333,0.8472978603872036,0.0,0.0,8.0,3.0,2000,1,2021-04-15 08:00:29+00:00,21_04.parquet
0.6931471805599453,6.0,1.9459101490553132,0.0,0.0,3.0,4.0,2000,1,2021-05-07 03:37:51+00:00,21_05.parquet
6.003887067106539,0.5,5.313205979041787,0.0,0.0,5.0,0.0,2000,1,2021-05-10 05:48:32+00:00,21_05.parquet
0.6931471805599453,24.0,3.2188758248682006,0.0,0.0,23.0,1.0,2000,1,2021-05-11 23:22:21+00:00,21_05.parquet
0.6931471805599453,24.0,3.2188758248682006,0.0,0.0,1.0,4.0,2000,1,2021-05-14 01:20:16+00:00,21_05.parquet
1.6094379124341003,6.0,3.2188758248682006,0.0,0.0,15.0,4.0,2000,1,2021-05-14 15:01:29+00:00,21_05.parquet
0.6931471805599453,24.0,3.2188758248682006,0.0,0.0,0.0,0.0,2000,1,2021-05-17 00:32:50+00:00,21_05.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,15.0,6.0,2000,1,2021-05-23 15:50:19+00:00,21_05.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,16.0,6.0,2000,1,2021-05-23 16:10:27+00:00,21_05.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,18.0,0.0,2000,1,2021-05-24 18:14:14+00:00,21_05.parquet
0.6931471805599453,0.06666666666666667,0.06453852113757118,0.0,0.0,9.0,1.0,2000,0,2021-05-25 09:32:00+00:00,21_05.parquet
0.6931471805599453,0.05,0.048790164169432,0.0,0.0,4.0,3.0,2000,1,2021-05-27 04:51:21+00:00,21_05.parquet
0.6931471805599453,23.0,3.1780538303479458,0.0,0.0,10.0,0.0,2000,1,2021-05-31 10:32:33+00:00,21_05.parquet
0.6931471805599453,23.0,3.1780538303479458,0.0,0.0,10.0,0.0,2000,1,2021-05-31 10:32:33+00:00,21_05.parquet
0.6931471805599453,23.0,3.1780538303479458,0.0,0.0,17.0,1.0,2000,1,2021-06-01 17:38:49+00:00,21_06.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,12.0,4.0,2000,0,2021-06-04 12:58:36+00:00,21_06.parquet
0.6931471805599453,23.0,3.1780538303479458,0.0,0.0,19.0,2.0,2000,1,2021-06-09 19:30:23+00:00,21_06.parquet
0.6931471805599453,15.0,2.772588722239781,0.0,0.0,3.0,4.0,2000,1,2021-06-18 03:20:56+00:00,21_06.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,0.0,0.0,2.0,3.0,2000,1,2021-07-01 02:39:15+00:00,21_07.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,0.0,0.0,2.0,3.0,2000,1,2021-07-01 02:39:20+00:00,21_07.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,0.0,0.0,12.0,3.0,2200,1,2021-07-22 12:15:56+00:00,21_07.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,8.0,2.0,2000,0,2021-07-28 08:14:17+00:00,21_07.parquet
1.6094379124341003,3.0,2.5649493574615367,0.0,0.0,17.0,2.0,2000,1,2021-07-28 17:34:16+00:00,21_07.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,0.0,0.0,2000,1,2021-08-02 00:01:47+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,8.0,0.0,2000,1,2021-08-02 08:06:25+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,14.0,1.0,2000,1,2021-08-10 14:23:03+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,15.0,1.0,2000,1,2021-08-10 15:54:38+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,16.0,1.0,2000,1,2021-08-10 16:12:39+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,14.0,2.0,2000,1,2021-08-11 14:49:11+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,21.0,4.0,2000,1,2021-08-13 21:44:19+00:00,21_08.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,16.0,6.0,2000,1,2021-08-22 16:37:24+00:00,21_08.parquet
1.0986122886681098,4.0,2.1972245773362196,0.0,0.0,2.0,5.0,2000,1,2021-09-11 02:51:51+00:00,21_09.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,14.0,5.0,2000,1,2021-09-11 14:23:50+00:00,21_09.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,5.0,6.0,2000,1,2021-09-12 05:45:16+00:00,21_09.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,5.0,6.0,2000,1,2021-09-12 05:45:56+00:00,21_09.parquet
0.6931471805599453,12.0,2.5649493574615367,0.0,0.0,17.0,0.0,2000,1,2021-09-13 17:15:25+00:00,21_09.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,16.0,6.0,2000,1,2021-09-19 16:33:05+00:00,21_09.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,23.0,0.0,2000,1,2021-09-20 23:17:27+00:00,21_09.parquet
1.0986122886681098,1.0,1.0986122886681098,0.0,0.0,4.0,0.0,2000,1,2021-09-27 04:43:03+00:00,21_09.parquet
1.0986122886681098,0.16666666666666666,0.2876820724517809,0.0,0.0,6.0,1.0,2000,1,2021-09-28 06:36:44+00:00,21_09.parquet
0.6931471805599453,1.3333333333333333,0.8472978603872036,0.0,0.0,3.0,2.0,2000,1,2021-09-29 03:13:25+00:00,21_09.parquet
0.6931471805599453,1.3333333333333333,0.8472978603872036,0.0,0.0,3.0,2.0,2000,1,2021-09-29 03:52:31+00:00,21_09.parquet
0.6931471805599453,1.3333333333333333,0.8472978603872036,0.0,0.0,12.0,3.0,2000,1,2021-09-30 12:51:17+00:00,21_09.parquet
2.833213344056216,0.16666666666666666,1.2992829841302609,0.0,0.0,8.0,5.0,2000,1,2021-10-02 08:41:22+00:00,21_10.parquet
2.833213344056216,0.16666666666666666,1.2992829841302609,0.0,0.0,19.0,2.0,2000,1,2021-10-06 19:18:38+00:00,21_10.parquet
0.6931471805599453,0.5,0.4054651081081644,1.0,2.833213344056216,23.0,2.0,2000,1,2021-10-06 23:50:25+00:00,21_10.parquet
2.833213344056216,0.16666666666666666,1.2992829841302609,0.0,0.0,16.0,3.0,2000,1,2021-10-07 16:24:49+00:00,21_10.parquet
1.6094379124341003,72.0,5.666426688112432,0.0,0.0,3.0,4.0,2000,1,2021-10-08 03:06:17+00:00,21_10.parquet
0.6931471805599453,0.08333333333333333,0.08004270767353643,0.0,0.0,23.0,0.0,2000,1,2021-10-11 23:40:03+00:00,21_10.parquet
2.5649493574615367,0.016666666666666666,0.18232155679395465,0.0,0.0,6.0,3.0,2000,0,2021-10-21 06:46:10+00:00,21_10.parquet
2.1972245773362196,1.0,2.1972245773362196,0.0,0.0,1.0,6.0,2000,1,2021-10-24 01:49:23+00:00,21_10.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,11.0,3.0,2000,1,2021-10-28 11:36:46+00:00,21_10.parquet
2.1972245773362196,1.5,2.5649493574615367,0.0,0.0,7.0,2.0,2000,0,2021-11-03 07:56:22+00:00,21_11.parquet
0.6931471805599453,7.0,2.0794415416798357,0.0,0.0,6.0,3.0,2000,1,2021-11-04 06:07:32+00:00,21_11.parquet
1.6094379124341003,1.0,1.6094379124341003,0.0,0.0,17.0,5.0,2000,1,2021-11-06 17:55:39+00:00,21_11.parquet
0.6931471805599453,24.0,3.2188758248682006,0.0,0.0,6.0,0.0,2000,1,2021-11-08 06:23:18+00:00,21_11.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,15.0,4.0,2000,1,2021-11-12 15:00:44+00:00,21_11.parquet
2.833213344056216,3.8333333333333335,4.132496328186477,0.0,0.0,15.0,4.0,2000,1,2021-11-12 15:19:58+00:00,21_11.parquet
0.6931471805599453,0.5,0.4054651081081644,0.0,0.0,14.0,5.0,2000,1,2021-11-13 14:13:37+00:00,21_11.parquet
1.6094379124341003,12.0,3.8918202981106265,0.0,0.0,7.0,6.0,2000,1,2021-11-14 07:09:35+00:00,21_11.parquet
0.6931471805599453,0.08333333333333333,0.08004270767353643,0.0,0.0,8.0,0.0,2000,1,2021-11-15 08:29:58+00:00,21_11.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,0.0,0.0,9.0,0.0,2000,1,2021-11-15 09:51:08+00:00,21_11.parquet
2.1972245773362196,1.0,2.1972245773362196,0.0,0.0,6.0,4.0,2000,1,2021-11-19 06:29:22+00:00,21_11.parquet
0.6931471805599453,0.08333333333333333,0.08004270767353643,0.0,0.0,1.0,6.0,2000,1,2021-11-21 01:46:05+00:00,21_11.parquet
0.6931471805599453,6.0,1.9459101490553132,0.0,0.0,5.0,0.0,2000,1,2021-11-29 05:08:27+00:00,21_11.parquet
3.8918202981106265,4.0,5.262690188904886,0.0,0.0,7.0,2.0,2000,0,2021-12-01 07:45:45+00:00,21_12.parquet
2.833213344056216,0.16666666666666666,1.2992829841302609,0.0,0.0,18.0,3.0,2000,1,2021-12-02 18:50:04+00:00,21_12.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,1.0,3.367295829986474,3.0,4.0,2000,1,2021-12-03 03:34:24+00:00,21_12.parquet
1.6094379124341003,24.0,4.574710978503383,0.0,0.0,19.0,4.0,2000,1,2021-12-03 19:21:56+00:00,21_12.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,1.0,2.833213344056216,1.0,6.0,2000,1,2021-12-05 01:50:27+00:00,21_12.parquet
1.9459101490553132,6.0,3.6109179126442243,0.0,0.0,2.0,0.0,2000,0,2021-12-06 02:25:45+00:00,21_12.parquet
2.833213344056216,0.16666666666666666,1.2992829841302609,0.0,0.0,5.0,1.0,2000,1,2021-12-07 05:14:26+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,0.0,3.0,2000,1,2021-12-09 00:07:58+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,23.0,3.0,2000,1,2021-12-09 23:12:53+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,9.0,4.0,2000,1,2021-12-10 09:48:48+00:00,21_12.parquet
2.5649493574615367,24.0,5.666426688112432,0.0,0.0,12.0,4.0,2000,1,2021-12-10 12:18:39+00:00,21_12.parquet
1.6094379124341003,2.0,2.1972245773362196,0.0,0.0,13.0,6.0,2000,1,2021-12-12 13:48:20+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,3.0,0.0,2000,1,2021-12-13 03:07:13+00:00,21_12.parquet
0.6931471805599453,1.0,0.6931471805599453,0.0,0.0,14.0,3.0,2000,1,2021-12-16 14:27:07+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,0.0,4.0,2000,1,2021-12-17 00:23:58+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,15.0,4.0,2000,1,2021-12-17 15:43:38+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,1.0,6.0,2000,1,2021-12-19 01:10:21+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,3.0,6.0,2000,0,2021-12-19 03:47:32+00:00,21_12.parquet
0.6931471805599453,0.75,0.5596157879354227,0.0,0.0,8.0,0.0,2000,0,2021-12-20 08:51:28+00:00,21_12.parquet
0.6931471805599453,0.75,0.5596157879354227,0.0,0.0,8.0,0.0,2000,0,2021-12-20 08:51:28+00:00,21_12.parquet
0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,15.0,0.0,2000,1,2021-12-20 15:43:20+00:00,21_12.parquet
1.0986122886681098,2.0,1.6094379124341003,0.0,0.0,22.0,0.0,2000,1,2021-12-20 22:26:04+00:00,21_12.parquet
2.1972245773362196,3.0,3.2188758248682006,0.0,0.0,1.0,1.0,2000,1,2021-12-21 01:53:21+00:00,21_12.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,1.0,3.367295829986474,6.0,2.0,2000,1,2021-12-22 06:32:49+00:00,21_12.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,1.0,2.833213344056216,16.0,2.0,2000,1,2021-12-22 16:27:29+00:00,21_12.parquet
0.6931471805599453,0.16666666666666666,0.15415067982725827,1.0,3.367295829986474,2.0,4.0,2000,1,2021-12-24 02:40:49+00:00,21_12.parquet
